#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:132 out:129 type:P dur:2 cpbdur:2 q:17.12 aq:9.39 tex:134559 mv:7688 misc:265 imb:198 pmb:704 smb:18 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:17.08 aq:11.28 tex:43469 mv:8837 misc:598 imb:22 pmb:795 smb:103 d:t ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:17.06 aq:12.88 tex:18684 mv:5454 misc:902 imb:6 pmb:630 smb:284 d:t ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:17.10 aq:12.69 tex:18431 mv:5670 misc:851 imb:3 pmb:676 smb:241 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:17.18 aq:9.53 tex:132396 mv:7725 misc:271 imb:204 pmb:697 smb:19 d:t ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:17.15 aq:11.47 tex:42809 mv:7112 misc:575 imb:18 pmb:800 smb:102 d:t ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:17.14 aq:12.67 tex:18634 mv:5931 misc:867 imb:8 pmb:676 smb:236 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:17.17 aq:12.90 tex:18189 mv:5635 misc:864 imb:5 pmb:664 smb:251 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:17.24 aq:9.61 tex:131171 mv:7738 misc:259 imb:199 pmb:702 smb:19 d:t ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:17.21 aq:11.36 tex:40578 mv:7111 misc:639 imb:16 pmb:783 smb:121 d:t ref:0 ;
